Attendance,Test_Score,LMS_Time_Hours,Assignments_Submitted,Forum_Interactions,Study_Hours_Per_Week,Previous_GPA,Final_Result
55,44,34.90,4,11,12.40,2.15,Average
72,56,21.90,6,9,11.30,2.36,Average
65,53,29.40,5,14,10.40,2.26,Average
55,64,25.60,4,0,10.80,2.38,Average
66,56,20.60,4,2,11.20,2.18,Average
71,39,14.20,3,2,17.34,1.63,Average
54,71,26.90,3,14,8.50,2.77,Average
52,51,36.00,3,10,8.20,3.10,Average
69,59,28.60,4,10,9.50,2.27,Average
63,56,29.00,3,10,6.10,2.37,Average
64,53,25.70,5,11,5.50,3.17,Average
68,58,30.20,4,5,8.90,2.37,Average
64,59,38.10,2,13,9.90,3.10,Average
61,51,45.30,4,16,10.50,1.72,Average
71,51,25.80,3,10,13.20,2.29,Average
69,42,25.70,3,16,13.50,1.99,Average
46,65,22.70,2,0,12.40,2.94,Average
64,58,27.00,2,1,3.40,2.40,Average
67,65,13.20,0,2,14.40,2.57,Average
60,56,32.80,5,11,6.50,2.10,Average
78,57,12.50,5,10,12.90,1.93,Average
71,66,12.00,3,0,8.80,2.56,Average
67,62,16.60,2,0,17.20,2.79,Average
71,56,47.60,3,12,16.90,2.31,Average
71,55,18.50,4,4,13.00,1.88,Average
60,54,29.00,2,9,11.60,2.68,Average
73,57,7.60,2,0,8.80,2.41,Average
64,53,31.90,1,13,6.00,2.33,Average
83,55,27.20,4,16,16.06,2.12,Average
67,71,22.20,3,7,9.60,2.92,Average
72,55,40.40,3,5,9.50,3.06,Average
62,71,48.00,3,17,10.10,2.53,Average
57,69,38.10,0,4,10.20,2.82,Average
63,54,40.00,1,12,7.00,2.84,Average
65,49,22.80,3,4,13.20,2.75,Average
60,49,38.90,2,4,8.30,2.19,Average
62,59,39.40,4,15,15.00,2.05,Average
59,56,61.80,7,17,12.00,2.30,Average
42,59,30.90,4,14,1.60,2.28,Average
67,61,26.20,1,6,6.10,2.10,Average
45,52,42.70,5,11,5.48,2.78,Average
54,50,31.70,2,5,11.00,2.55,Average
66,47,28.00,4,10,11.20,2.32,Average
55,46,29.90,3,10,15.60,2.85,Average
60,58,31.30,3,9,8.80,2.64,Average
74,71,32.90,6,7,7.70,2.09,Average
74,50,25.80,3,4,7.00,1.85,Average
72,59,21.00,3,2,14.10,2.30,Average
67,65,27.10,3,11,10.70,2.13,Average
62,53,42.60,2,11,14.20,2.27,Average
54,57,41.70,4,17,8.40,2.48,Average
58,81,33.30,2,7,8.50,2.93,Average
62,62,25.90,5,8,11.60,1.90,Average
69,68,25.60,2,7,9.00,2.74,Average
58,51,27.00,3,10,11.10,1.47,Average
69,57,21.40,4,1,10.60,2.22,Average
61,63,11.50,1,10,1.40,2.52,Average
77,49,19.80,4,0,14.37,2.22,Average
63,56,29.00,5,14,3.90,2.77,Average
78,65,14.20,6,3,15.90,1.99,Average
54,47,52.30,6,23,9.88,2.10,Average
61,61,26.20,4,2,11.80,2.90,Average
61,70,35.50,4,7,9.90,3.01,Average
60,53,31.20,3,8,10.60,2.46,Average
66,70,10.60,1,0,11.10,2.90,Average
52,56,52.60,4,21,7.70,2.33,Average
61,62,17.60,1,0,9.20,2.42,Average
76,69,29.90,3,5,5.30,2.63,Average
58,62,22.40,1,8,9.70,2.67,Average
64,51,33.10,5,10,6.90,2.86,Average
69,69,26.90,2,2,13.20,2.60,Average
74,49,43.50,4,21,3.90,1.93,Average
63,60,29.40,2,14,12.30,3.15,Average
75,52,16.20,4,11,12.10,1.37,Average
75,68,30.30,3,3,15.80,2.04,Average
70,54,26.60,0,7,6.50,2.64,Average
49,75,24.90,5,8,9.51,2.87,Average
56,69,31.40,2,2,10.30,3.36,Average
68,64,22.70,0,6,10.40,2.78,Average
71,57,31.80,3,10,13.50,2.06,Average
58,68,22.60,1,7,6.20,2.26,Average
78,51,23.90,5,6,16.90,2.43,Average
65,60,21.70,3,13,8.60,2.75,Average
67,60,31.20,4,5,15.90,2.21,Average
53,65,23.70,3,11,12.40,3.32,Average
73,46,41.30,3,14,9.50,1.64,Average
66,52,21.90,5,16,20.10,2.66,Average
74,74,18.20,1,0,1.50,3.67,Average
72,49,16.60,4,3,13.90,2.22,Average
64,60,20.60,3,5,13.40,2.33,Average
64,52,34.70,3,18,12.90,1.37,Average
57,50,24.30,0,4,10.30,1.99,Average
66,63,27.00,2,2,11.80,3.33,Average
55,57,26.40,2,5,9.00,3.17,Average
65,65,27.40,2,0,10.00,2.97,Average
75,54,34.20,4,5,14.90,2.25,Average
72,65,24.70,3,16,8.80,2.88,Average
62,64,32.20,4,4,6.70,3.20,Average
63,52,30.10,2,7,13.40,2.42,Average
60,67,34.10,3,6,11.20,2.17,Average
83,56,29.10,3,5,10.90,2.38,Average
66,45,35.40,5,9,9.50,1.84,Average
67,53,26.80,4,9,10.10,1.59,Average
68,68,22.20,3,11,4.80,2.14,Average
77,45,22.10,3,0,12.60,1.96,Average
73,75,5.00,2,0,17.50,2.64,Average
59,71,36.30,3,14,3.10,2.46,Average
66,55,9.00,4,0,13.70,2.92,Average
61,54,15.00,1,0,9.80,2.85,Average
58,50,23.10,1,12,11.30,2.92,Average
57,57,41.80,3,10,6.70,2.39,Average
72,64,19.00,1,1,10.80,2.76,Average
54,56,32.70,2,11,7.80,1.91,Average
72,56,32.20,2,5,5.30,2.33,Average
60,55,13.10,6,3,14.30,2.23,Average
65,53,18.90,3,2,13.50,2.75,Average
61,69,41.90,4,3,8.00,2.43,Average
72,59,34.50,2,9,9.90,2.51,Average
80,67,24.00,4,7,7.90,2.81,Average
64,59,50.30,5,23,9.20,3.15,Average
50,58,26.90,2,4,4.00,3.07,Average
51,49,20.30,2,8,11.30,2.90,Average
59,57,37.70,4,11,15.40,2.15,Average
64,45,20.00,3,8,14.80,2.17,Average
64,57,27.90,3,5,13.70,2.06,Average
64,57,30.90,3,10,15.60,2.09,Average
45,69,14.60,3,1,4.40,1.99,Average
69,58,40.60,4,21,10.20,1.81,Average
66,68,26.00,4,4,7.70,3.21,Average
79,66,24.40,1,2,11.70,2.09,Average
75,64,8.50,3,0,8.50,2.29,Average
65,49,28.50,3,9,4.60,2.33,Average
59,51,18.50,4,6,16.20,2.25,Average
69,65,20.00,3,2,9.80,2.55,Average
83,63,20.10,4,4,12.60,2.15,Average
64,60,32.80,0,8,12.40,1.88,Average
65,54,30.30,3,4,16.20,1.58,Average
73,78,9.20,5,4,5.00,3.33,Average
73,58,21.20,3,5,11.50,1.75,Average
58,55,32.10,2,5,8.00,2.06,Average
66,56,48.10,6,7,13.30,1.94,Average
66,51,34.20,2,17,9.80,1.97,Average
65,57,24.10,4,11,10.10,1.80,Average
64,68,25.90,2,17,6.40,2.78,Average
77,51,40.60,2,7,8.80,2.25,Average
58,56,33.00,2,3,8.40,3.21,Average
51,46,31.50,6,20,12.20,2.34,Average
57,60,56.70,3,18,12.40,1.88,Average
44,64,34.80,5,12,6.90,2.09,Average
57,59,11.10,3,4,9.20,2.43,Average
58,55,38.00,2,8,7.80,2.56,Average
70,65,14.60,2,6,10.60,2.43,Average
55,48,43.90,4,19,11.80,2.18,Average
65,52,11.60,3,1,8.40,2.24,Average
65,75,30.10,3,1,1.80,2.47,Average
66,64,33.20,2,6,10.20,2.83,Average
72,58,24.40,6,7,15.60,2.94,Average
62,61,35.90,3,4,6.50,2.95,Average
75,50,25.80,3,8,10.00,2.28,Average
62,49,28.30,2,5,7.30,3.08,Average
79,68,28.70,2,6,8.40,2.25,Average
83,48,26.40,5,7,10.80,2.04,Average
59,42,39.50,2,21,6.00,3.10,Average
69,54,31.80,3,11,1.00,2.61,Average
70,54,5.00,4,6,12.70,2.36,Average
64,63,27.70,2,13,7.50,3.18,Average
70,55,27.50,2,3,10.50,1.51,Average
61,56,38.00,4,6,9.00,2.26,Average
69,50,41.00,2,11,4.70,2.20,Average
56,47,27.30,1,13,15.60,2.28,Average
69,58,17.30,4,15,16.70,2.07,Average
57,62,19.40,2,3,10.50,2.57,Average
82,52,13.00,3,0,15.10,2.01,Average
60,51,31.70,1,10,12.30,1.96,Average
73,49,16.80,3,2,4.30,2.43,Average
75,52,40.10,5,10,9.30,1.70,Average
66,60,34.00,4,7,13.70,3.73,Average
68,49,39.10,4,7,14.70,2.04,Average
77,60,26.30,3,12,13.80,2.40,Average
70,65,40.30,0,2,8.20,2.60,Average
64,58,48.20,6,10,8.90,1.79,Average
61,79,30.60,3,6,7.80,2.99,Average
58,50,21.30,2,8,16.00,2.24,Average
51,70,40.40,3,12,10.00,3.02,Average
65,58,28.80,3,5,12.30,2.91,Average
46,60,30.40,1,8,1.00,3.04,Average
58,45,38.40,7,15,13.50,2.19,Average
63,54,19.00,4,11,13.90,2.31,Average
59,52,19.80,1,8,9.10,1.96,Average
70,57,27.30,7,13,12.40,2.19,Average
69,58,33.90,4,10,8.20,1.99,Average
67,54,63.40,4,19,9.20,2.26,Average
53,66,30.60,3,12,9.50,3.28,Average
66,69,7.50,4,6,17.00,2.48,Average
63,39,52.20,4,25,8.80,2.20,Average
67,62,21.40,2,8,5.40,2.05,Average
72,71,11.40,2,5,11.50,3.28,Average
48,53,7.50,2,0,4.50,2.88,Average
55,46,29.60,3,0,8.60,2.29,Average
77,50,12.70,3,3,15.40,2.01,Average
64,68,24.10,2,2,2.90,2.55,Average
71,60,17.60,2,10,13.40,2.16,Average
67,62,32.40,2,15,8.90,2.26,Average
75,68,19.30,6,16,8.90,1.82,Average
66,56,23.90,4,0,10.20,2.11,Average
57,59,30.90,4,12,1.00,2.71,Average
51,57,33.20,2,4,8.90,2.77,Average
59,58,12.90,4,3,11.20,3.05,Average
60,57,14.90,4,6,9.30,2.12,Average
52,49,32.70,2,8,9.60,2.37,Average
78,55,32.90,4,6,17.10,2.11,Average
58,50,19.00,3,1,16.30,2.22,Average
75,65,38.00,3,18,5.50,2.36,Average
60,71,14.10,2,11,12.70,2.58,Average
80,47,26.40,6,15,19.70,2.09,Average
71,43,30.80,3,15,4.60,2.20,Average
67,64,35.70,3,8,8.70,2.24,Average
64,56,25.00,2,3,14.20,2.54,Average
47,64,40.10,1,8,7.90,2.70,Average
56,68,15.20,2,14,8.00,2.86,Average
56,72,36.70,1,3,14.70,2.51,Average
59,63,22.10,2,13,7.50,2.67,Average
56,56,31.90,3,7,13.50,2.66,Average
63,66,21.50,4,6,12.70,2.95,Average
60,54,41.20,2,11,10.60,1.91,Average
71,50,28.80,4,7,11.80,1.91,Average
63,61,21.40,1,1,7.60,2.93,Average
60,65,22.70,5,7,13.00,2.43,Average
66,68,27.10,2,12,13.90,2.30,Average
55,44,38.10,5,17,12.00,1.97,Average
61,51,44.10,2,11,6.10,3.42,Average
67,47,27.40,3,14,10.70,1.90,Average
67,52,26.60,3,2,12.00,2.35,Average
66,52,55.20,7,16,14.00,1.97,Average
58,52,34.50,2,10,8.40,3.32,Average
66,64,14.30,1,5,13.40,1.83,Average
73,59,24.80,4,0,17.70,2.76,Average
53,54,20.60,3,4,4.50,1.98,Average
66,50,30.70,0,14,10.40,2.28,Average
69,53,61.10,3,17,9.40,2.28,Average
56,68,38.00,3,11,10.20,2.95,Average
57,56,28.90,1,12,11.20,2.85,Average
66,55,36.70,4,6,9.70,2.57,Average
61,45,25.30,3,10,17.00,2.19,Average
52,56,16.50,2,12,8.70,2.97,Average
62,61,37.00,3,22,7.80,2.21,Average
59,76,30.90,4,5,6.00,3.38,Average
63,65,28.60,6,6,9.20,2.62,Average
75,58,20.10,4,4,14.50,2.16,Average
71,57,10.00,3,7,8.80,2.91,Average
66,60,44.40,4,13,3.90,1.73,Average
53,59,35.20,4,9,6.20,2.28,Average
65,59,18.60,2,2,9.90,3.03,Average
67,57,14.20,1,1,1.00,2.67,Average
65,44,33.50,5,21,10.10,1.88,Average
56,61,24.30,2,0,10.40,2.79,Average
60,68,27.70,2,7,1.50,2.74,Average
76,59,5.00,3,0,10.00,3.41,Average
62,53,36.70,6,14,8.20,2.15,Average
74,50,21.20,5,1,16.60,2.69,Average
72,62,18.60,3,0,14.40,2.49,Average
67,57,16.30,4,7,8.70,2.51,Average
66,53,19.20,3,5,10.00,2.24,Average
64,50,24.30,3,0,8.60,2.42,Average
70,46,20.80,0,10,7.70,2.31,Average
53,54,18.00,2,0,8.20,1.92,Average
58,58,27.00,2,9,4.30,2.77,Average
58,46,39.50,3,24,13.40,1.39,Average
78,62,19.60,3,5,9.80,2.77,Average
82,58,8.20,3,3,17.80,2.39,Average
54,51,35.40,2,11,9.30,2.71,Average
64,54,31.90,3,11,10.80,2.31,Average
62,65,29.10,2,7,6.20,2.88,Average
56,72,15.70,1,8,10.90,2.96,Average
70,44,32.90,3,8,7.80,2.23,Average
69,68,23.30,4,3,12.19,2.09,Average
81,70,26.80,6,4,5.60,2.07,Average
60,60,43.80,2,6,6.10,2.82,Average
63,63,49.80,3,15,2.90,2.52,Average
75,50,18.00,4,1,10.40,1.96,Average
55,69,33.50,3,12,8.95,1.73,Average
57,69,24.70,5,6,9.40,2.59,Average
73,58,34.30,4,1,14.90,2.07,Average
82,60,14.20,4,6,5.70,3.13,Average
51,63,31.50,3,4,1.00,2.61,Average
75,56,25.70,4,0,7.90,2.89,Average
66,62,38.40,3,7,10.50,1.92,Average
69,54,21.40,6,20,14.40,2.02,Average
65,69,48.40,1,10,7.80,2.67,Average
50,77,11.70,3,6,1.00,3.57,Average
80,57,27.40,5,3,12.40,2.38,Average
66,68,27.50,4,10,17.90,1.78,Average
62,62,36.30,2,13,1.21,2.24,Average
71,51,26.30,5,13,11.40,1.73,Average
65,56,41.70,3,11,7.40,2.92,Average
81,55,36.20,3,16,9.60,2.30,Average
79,45,37.70,2,8,8.10,1.85,Average
54,50,30.50,6,10,11.00,2.12,Average
67,56,22.20,4,16,8.50,2.67,Average
57,64,21.70,0,8,3.70,2.61,Average
46,40,36.30,5,14,11.00,1.94,Average
63,57,16.10,4,4,12.80,2.21,Average
72,54,14.00,3,5,12.00,2.62,Average
73,62,21.70,3,0,12.70,2.24,Average
66,63,15.50,4,11,8.50,2.23,Average
69,59,23.80,2,1,9.00,2.94,Average
62,45,28.60,1,12,7.60,2.60,Average
65,58,63.00,5,15,10.50,2.26,Average
64,72,12.20,0,2,2.80,3.11,Average
57,57,16.90,2,6,9.90,2.03,Average
59,66,21.70,0,10,2.90,3.30,Average
60,60,21.90,2,11,8.20,2.31,Average
62,60,42.90,3,6,10.10,2.88,Average
78,60,26.00,3,9,12.40,2.63,Average
81,58,21.50,4,3,12.20,2.30,Average
65,56,23.00,6,17,13.60,2.41,Average
68,43,38.50,3,11,14.20,1.57,Average
65,49,46.00,4,14,5.30,2.05,Average
64,52,46.70,3,12,3.20,1.89,Average
69,73,20.50,5,7,14.20,2.31,Average
61,58,30.60,3,8,11.00,2.61,Average
75,60,30.80,5,10,8.70,1.22,Average
59,76,20.50,1,0,14.30,1.88,Average
64,71,11.50,3,5,11.90,2.54,Average
58,55,21.60,4,5,12.00,2.09,Average
54,54,28.30,0,2,11.90,2.40,Average
65,60,36.60,2,12,9.00,2.07,Average
64,50,27.70,4,10,13.70,2.22,Average
73,51,44.30,6,22,7.50,1.58,Average
59,58,9.70,0,0,8.70,2.14,Average
63,50,18.70,3,5,2.90,2.09,Average
84,67,17.70,3,5,11.00,2.45,Average
73,60,17.00,2,7,6.60,3.09,Average
66,64,22.90,4,6,10.50,2.67,Average
62,64,19.10,3,12,18.00,2.06,Average
75,56,22.60,1,2,10.00,1.77,Average
73,67,26.80,2,2,9.60,3.07,Average
67,73,21.00,4,5,6.70,3.19,Average
61,53,34.30,2,8,6.90,2.72,Average
73,52,10.40,2,0,8.30,1.67,Average
67,49,25.90,5,4,17.80,2.62,Average
74,58,38.40,5,7,8.40,2.60,Average
66,59,43.10,6,16,12.90,2.05,Average
68,56,23.90,4,5,15.60,2.46,Average
79,46,36.60,4,5,9.70,2.26,Average
79,54,26.60,5,8,13.20,1.37,Average
52,69,5.00,2,5,5.70,3.36,Average
57,62,25.50,2,12,13.10,2.59,Average
57,60,30.50,0,12,9.50,2.98,Average
82,53,20.10,5,10,20.10,2.09,Average
65,77,48.90,1,13,5.30,2.37,Average
79,55,29.50,6,13,8.80,1.68,Average
48,61,45.40,1,9,5.50,2.17,Average
68,72,28.90,1,6,11.40,2.17,Average
62,57,17.30,4,1,11.00,2.84,Average
69,44,29.50,0,6,3.70,1.87,Average
73,75,25.00,0,2,9.30,3.09,Average
58,57,38.70,1,11,7.60,2.24,Average
61,48,10.30,1,1,10.20,2.11,Average
53,65,51.70,8,16,5.08,2.34,Average
64,58,38.40,5,10,9.80,2.54,Average
62,56,15.40,2,2,9.20,2.23,Average
70,68,11.00,3,4,9.40,3.02,Average
50,77,44.00,6,7,9.03,2.71,Average
58,72,21.60,3,0,10.00,2.75,Average
62,72,24.80,2,1,11.60,2.83,Average
71,59,22.80,3,8,11.20,2.11,Average
60,52,17.60,3,16,8.90,1.83,Average
70,70,22.60,4,4,9.40,2.60,Average
70,73,35.20,3,4,5.60,2.84,Average
71,48,26.80,3,4,14.42,2.62,Average
71,46,19.80,4,6,11.40,2.26,Average
63,55,39.10,4,6,8.40,2.20,Average
56,61,34.50,3,12,7.10,2.33,Average
75,59,31.30,4,12,8.60,2.27,Average
54,58,34.70,4,13,17.90,2.32,Average
66,66,50.60,3,19,7.40,2.52,Average
59,61,38.10,2,5,7.50,2.32,Average
65,74,42.90,2,13,2.50,2.49,Average
67,55,26.60,4,16,7.90,2.82,Average
58,51,24.70,3,12,9.20,2.32,Average
64,68,33.00,3,0,13.90,2.64,Average
73,57,21.90,2,5,8.60,2.36,Average
70,54,10.60,5,1,19.90,1.82,Average
72,73,19.30,4,7,9.80,2.37,Average
58,50,57.30,3,10,7.00,2.20,Average
62,74,41.20,2,15,4.20,3.15,Average
55,68,48.20,2,0,4.60,2.17,Average
78,58,26.00,5,13,16.40,1.55,Average
64,56,28.10,3,7,10.40,2.79,Average
64,61,21.30,2,11,9.30,2.83,Average
74,65,47.10,1,18,4.23,2.25,Average
45,62,27.30,5,10,5.77,3.15,Average
74,54,11.70,4,0,5.04,2.75,Average
70,51,42.30,3,11,6.00,2.11,Average
61,55,52.90,6,18,6.10,2.11,Average
64,71,23.00,2,10,8.70,2.66,Average
65,53,16.00,2,8,8.90,3.10,Average
65,71,27.10,4,5,12.00,2.71,Average
63,66,11.00,3,0,14.30,3.00,Average
59,57,42.30,5,9,16.80,2.25,Average
65,61,14.00,5,2,7.60,2.67,Average
67,59,21.70,3,9,12.90,2.90,Average
58,49,38.50,3,10,6.70,2.15,Average
71,48,19.80,2,8,4.70,2.64,Average
44,50,31.80,3,11,8.31,2.70,Average
62,61,28.90,2,1,5.30,2.32,Average
63,61,22.80,3,7,9.30,2.63,Average
79,59,22.50,4,10,19.10,1.71,Average
65,64,33.30,3,10,5.70,2.23,Average
62,47,18.90,3,19,8.50,2.03,Average
55,84,49.70,2,9,3.50,3.26,Average
91,49,6.00,3,4,14.20,1.67,Average
69,51,39.90,2,16,8.20,2.23,Average
60,64,42.20,2,17,7.10,3.26,Average
77,55,7.80,2,3,15.70,2.29,Average
54,51,21.30,3,3,5.40,2.54,Average
51,62,29.30,2,11,7.90,3.11,Average
59,54,40.90,4,21,6.70,1.95,Average
48,65,23.50,2,6,1.00,2.28,Average
67,50,42.80,3,19,13.80,1.82,Average
70,53,31.90,3,10,1.00,2.95,Average
56,54,32.00,3,19,6.60,2.18,Average
61,58,7.50,2,0,14.80,2.51,Average
64,56,29.00,4,9,8.20,2.11,Average
69,47,28.60,4,2,14.40,2.02,Average
71,62,37.00,2,4,10.50,2.17,Average
60,58,25.30,2,0,17.10,1.81,Average
78,56,14.80,6,10,14.60,2.25,Average
66,58,36.60,6,7,10.00,2.73,Average
58,68,37.30,3,15,11.80,2.05,Average
65,65,31.60,5,7,12.70,2.30,Average
55,47,22.40,0,0,13.30,2.56,Average
77,62,19.50,3,10,12.50,2.25,Average
69,67,29.60,3,6,9.40,2.81,Average
57,52,30.30,2,4,4.60,2.95,Average
64,57,42.20,3,15,11.70,3.33,Average
67,67,13.40,2,7,11.90,3.33,Average
66,57,29.50,3,7,13.60,1.89,Average
52,73,20.60,1,5,1.40,2.62,Average
76,47,28.30,3,9,16.30,2.28,Average
59,58,36.10,6,8,9.03,2.75,Average
68,81,23.00,3,3,13.90,2.81,Average
63,50,26.10,3,7,9.70,2.09,Average
65,54,27.90,2,7,11.20,2.11,Average
79,59,35.80,3,4,13.40,3.09,Average
58,63,21.80,1,0,6.40,2.48,Average
69,55,39.30,6,18,5.90,2.32,Average
68,58,25.10,3,17,10.10,1.80,Average
71,57,19.30,5,5,14.00,2.08,Average
63,67,35.70,2,1,8.10,3.16,Average
83,67,25.10,6,4,9.60,2.60,Average
74,67,12.60,2,1,12.60,2.62,Average
68,54,39.50,3,6,11.40,2.13,Average
82,60,40.40,3,12,2.50,1.92,Average
61,61,12.00,4,2,13.50,2.58,Average
59,56,43.90,4,16,7.30,2.94,Average
83,52,24.30,6,8,17.70,2.02,Average
65,67,30.20,3,8,8.30,2.99,Average
72,47,28.10,3,8,14.50,2.03,Average
72,54,33.20,1,14,8.20,2.36,Average
61,65,34.20,4,1,6.60,2.83,Average
70,64,21.60,3,8,12.00,2.33,Average
62,63,24.60,3,19,11.20,3.65,Average
69,49,21.10,1,5,14.50,2.37,Average
64,65,15.90,5,1,11.10,3.32,Average
58,63,32.90,6,6,2.53,2.40,Average
68,54,29.40,3,2,9.30,1.91,Average
71,60,25.10,3,8,10.60,2.92,Average
68,70,26.90,5,1,8.10,2.83,Average
64,56,41.80,2,11,6.20,2.04,Average
69,62,16.10,6,6,16.60,2.01,Average
75,49,26.80,2,20,8.80,2.48,Average
59,46,31.70,2,14,14.30,1.77,Average
71,69,19.80,3,2,14.90,2.27,Average
65,50,30.30,2,12,8.40,2.02,Average
70,76,19.60,3,2,9.80,3.00,Average
65,70,25.40,5,14,12.20,1.95,Average
50,62,27.50,3,13,8.50,2.90,Average
65,60,26.00,5,9,13.50,2.33,Average
68,57,30.40,2,8,5.40,2.36,Average
57,61,32.60,2,8,7.50,2.30,Average
65,65,31.30,4,5,12.00,2.35,Average
58,62,23.30,4,2,15.40,2.67,Average
60,47,43.50,5,11,11.20,1.70,Average
65,59,46.70,6,19,10.40,2.21,Average
54,66,13.20,2,3,6.40,2.74,Average
79,47,33.50,3,12,8.20,2.75,Average
77,44,18.60,4,11,8.70,2.24,Average
61,63,20.60,0,11,10.60,2.55,Average
73,50,32.10,3,7,9.20,2.52,Average
67,76,25.50,2,12,9.00,2.86,Average
63,55,41.70,4,10,4.50,2.36,Average
76,60,26.80,3,5,9.30,2.37,Average
68,52,58.80,4,11,5.60,1.95,Average
59,54,23.80,0,0,1.10,2.73,Average
66,75,30.00,3,13,9.40,2.54,Average
56,65,11.90,2,3,5.90,2.87,Average
68,68,31.40,1,6,5.50,2.32,Average
66,59,14.40,0,2,11.00,2.65,Average
78,68,34.60,2,16,10.20,2.25,Average
65,57,38.90,5,13,12.70,2.30,Average
68,60,31.90,7,5,16.70,2.34,Average
69,52,29.50,2,1,7.40,2.85,Average
69,52,39.30,4,9,4.10,2.13,Average
73,57,35.10,3,9,9.10,2.14,Average
86,59,10.40,2,0,13.98,2.35,Average
59,43,56.60,4,22,13.80,1.45,Average
65,55,32.20,4,23,14.10,1.61,Average
62,53,30.50,4,3,12.80,3.10,Average
59,61,27.00,5,16,8.33,1.88,Average
73,62,25.80,3,10,17.40,2.30,Average
73,59,8.40,5,7,14.50,2.52,Average
59,61,21.50,2,8,10.00,1.91,Average
72,67,26.50,1,0,3.60,2.08,Average
78,64,38.20,3,6,15.20,2.34,Average
64,47,51.70,6,19,9.30,2.41,Average
69,63,24.20,3,6,9.70,2.57,Average
69,55,29.80,2,9,7.50,1.88,Average
45,59,49.80,4,20,2.83,2.30,Average
49,46,35.50,3,9,10.00,1.98,Average
78,54,54.00,1,13,1.00,2.26,Average
70,52,28.10,1,1,6.10,1.91,Average
55,57,27.80,4,12,12.80,1.59,Average
57,69,31.00,4,2,4.03,2.64,Average
64,61,29.20,4,10,8.90,2.11,Average
66,65,26.30,1,0,8.20,2.01,Average
73,58,31.40,5,6,7.80,2.86,Average
57,65,34.00,2,14,4.80,1.84,Average
61,59,32.70,4,5,11.00,2.64,Average
64,65,30.10,5,5,10.80,2.21,Average
63,48,22.60,4,4,15.60,2.31,Average
