Attendance,Test_Score,LMS_Time_Hours,Assignments_Submitted,Forum_Interactions,Study_Hours_Per_Week,Previous_GPA,Final_Result
55,55,19.838081419346558,8,12,11.46240957641821,3.5683230845178144,Good
82,100,53.9270157533675,4,19,9.728314921890261,1.8096822326483029,Good
57,82,34.62548705268058,5,5,15.953235485771769,3.612623588086476,Average
67,47,29.432172615496953,9,11,18.151507134029565,4.0,Good
99,58,22.324487731675944,6,11,26.145,2.7785597022029327,Average
67,87,25.07517558869798,3,0,19.867147458267596,4.0,Good
88,93,62.435,6,13,26.145,1.9136406526680125,Good
56,68,41.13298163567204,3,11,6.5732542194009715,2.7755144934348874,Average
70,71,38.67438044824013,6,16,0.9550000000000001,2.181794591892082,Average
56,86,30.586503366473753,7,1,13.35415493539649,4.0,Good
68,72,62.435,1,11,20.71086661887522,4.0,Excellent
90,41,59.60225744423484,6,21,19.38814952611577,2.7080883365593973,Good
45,52,22.092128996466634,5,21,23.690411083677876,3.9416224447889974,Good
83,75,30.37603583549692,7,21,0.9550000000000001,4.0,Poor
79,96,31.475204494177056,8,1,24.041149997015957,2.772449502893659,Poor
63,100,38.14229873309211,7,15,16.304511891996906,2.930417119931343,Average
46,87,22.459369286407146,4,7,0.9550000000000001,3.516822992990869,Average
76,76,43.565790218155456,8,13,19.576753000894612,1.9862367142637218,Excellent
64,86,62.325210845822994,3,5,14.904939568674294,2.9113313069417406,Average
79,55,11.121531735325693,1,0,16.690424342469974,4.0,Good
75,66,14.555480781659721,1,8,21.90049351482869,2.3188586892553333,Good
100,52,26.496607423857004,5,17,17.103989238373654,3.6335585312519396,Good
70,42,27.354958650585836,3,14,1.056718807690137,3.3130777670665816,Excellent
54,77,62.435,6,14,12.26981122897411,2.6453852801574986,Average
78,74,53.98702453906889,1,13,0.9550000000000001,3.0196636434726734,Good
78,85,52.924580487388425,3,14,18.948834735377364,4.0,Good
100,81,30.547275861998635,7,16,25.263758832235077,3.3420091514842234,Good
90,75,30.140942178526803,2,9,3.0076968811222837,3.493714217795098,Excellent
81,82,8.565208024123432,6,12,7.813935426694217,4.0,Excellent
100,69,49.91458156325246,3,21,6.035543468422534,2.5233731733622924,Average
51,79,44.532911110772986,5,12,9.648426018063812,1.7877683850598636,Excellent
62,54,59.25025390376091,7,11,16.953456331489093,4.0,Good
56,78,31.53842567995779,8,12,9.739798297083752,2.936991563056692,Average
67,84,32.816808122296834,5,9,18.978079971177223,3.672183244646806,Average
48,55,38.58984092597125,3,7,22.45929877782126,2.064126649497384,Good
86,71,51.95400317392368,4,13,22.766056904586502,3.181710558343817,Average
70,56,8.222515323535067,7,7,4.047138033237156,1.7391965420046702,Excellent
46,58,49.068799313157335,2,10,25.162224544139278,2.8663137682558446,Good
55,45,35.062217693155596,5,5,25.83800697341281,2.1752251376944303,Average
80,97,15.842359203995382,4,12,26.145,1.9521355853208973,Excellent
90,93,2.2649999999999997,5,16,12.145111632600353,2.510057365799832,Excellent
100,81,32.915031415249416,2,9,7.13616829708099,1.3755,Average
100,100,62.24421059347905,1,0,5.176542337717349,1.67804736089308,Good
82,65,62.435,7,16,4.185435846462637,3.5642109918712848,Excellent
55,100,42.02100014441734,8,12,13.574408852838804,3.1420319152267275,Good
45,65,62.435,1,3,20.625066000181803,1.7612847908171365,Good
79,75,34.64666774387593,6,18,24.49295880867139,3.3364510447239217,Good
58,61,53.09085584552394,8,0,9.381532222420251,1.9515930013449694,Average
66,78,27.08770710370298,7,20,13.149607211733418,3.5055083421607947,Average
62,88,25.91453100238082,4,11,12.597305964955686,2.692120753964671,Excellent
71,67,22.898456737760895,2,0,8.119041011453454,2.4886929253664825,Average
95,100,2.2649999999999997,5,13,19.679799901922692,2.715985719978034,Poor
77,75,59.27052448147328,6,8,16.535432151227468,4.0,Average
71,75,23.562667283811255,5,6,14.671710736584274,2.0675523296953697,Average
54,50,20.60405842027228,5,5,16.497126417731884,3.0244254530335724,Good
45,79,13.596008587884928,2,10,18.665424100951107,3.5631957692871303,Good
65,67,31.658214533609836,6,7,18.580982401241535,1.86982746554991,Average
73,56,62.435,7,0,6.405541820445173,1.3755,Excellent
100,53,62.435,6,21,21.03382980623994,2.220696453708589,Good
77,100,4.692852564993558,5,9,15.62912435528764,3.5419235558087103,Average
93,64,28.879517890159885,10,5,9.811074832295144,2.4723006386725594,Good
65,38,16.29186288009134,3,2,15.450898374252668,2.5799920780210455,Average
51,54,53.739468806590835,9,18,16.380526660054965,3.6888556905307324,Good
56,68,40.74757759599641,3,0,22.59761925919835,2.021385210670917,Good
60,82,23.656404286154157,8,12,4.65446915689232,2.718227298541083,Good
100,82,36.78526391482138,9,6,24.64832927315279,1.3755,Excellent
58,84,26.602874917476512,4,7,13.671176033870239,3.1158636418711088,Excellent
90,55,62.435,10,2,9.207862075167796,3.0272886219554858,Good
57,77,45.56791862183758,7,6,8.949796724085811,3.576953768667449,Good
92,50,47.84258581966003,3,11,5.032128180518772,1.6922702378382635,Average
82,56,2.2649999999999997,4,13,0.9550000000000001,2.6180766141745493,Good
71,49,34.20516017760103,8,5,19.187785623241368,1.5629072728933344,Excellent
73,44,62.435,8,10,26.145,2.5654249996065506,Average
62,93,59.99324081356525,2,19,0.9550000000000001,4.0,Excellent
83,85,2.2649999999999997,5,0,5.461661692334202,2.4929369703539033,Good
65,91,29.638990483365884,6,11,19.813312040915367,1.4779859996831057,Poor
51,70,13.197079074880111,4,3,13.091015070814846,2.144192917877186,Excellent
50,87,62.435,10,2,20.51179988698776,1.3755,Excellent
77,36,39.96416488745304,6,13,12.618108388323684,1.5461049756085068,Poor
100,88,21.22691936919253,5,7,8.579882403640932,3.4560051775776923,Average
77,73,36.07405705949929,9,1,11.571493815982059,1.3999459172638824,Good
72,83,2.2649999999999997,4,21,0.9550000000000001,3.10771574254872,Average
80,78,15.35500354299877,8,19,3.8337766752523184,2.829415113965533,Excellent
99,48,36.11637537868452,1,0,21.471888101115194,2.288255060801383,Excellent
78,37,51.09825845845446,4,0,23.526137801483337,3.0251938897027584,Average
66,54,2.2649999999999997,8,16,25.332867341246672,1.8938632365370114,Excellent
95,82,28.385066362835556,10,9,17.19331948296,3.620952000308943,Good
82,85,54.13469952026754,3,21,0.9550000000000001,2.1262655983718157,Good
100,40,8.569875134996938,2,16,8.121349071284602,2.4292197622374436,Average
78,48,39.68469209197039,7,14,24.645557811273058,2.313675512426333,Average
51,54,36.66309973936677,3,3,26.145,3.473957340776506,Good
48,62,62.435,4,15,24.96591344949893,3.3331205411638187,Excellent
100,40,31.180991038080197,8,0,11.483711919874127,1.3755,Average
100,38,32.26470228978203,4,21,2.4585609224469867,3.051309362385284,Average
71,52,51.270146900386536,1,15,13.133220779013296,1.3755,Good
67,71,10.886026944997003,1,4,13.600688657550705,2.472962668914403,Good
100,44,31.352298183636503,5,18,26.145,2.699369988765868,Average
53,67,27.004504216153883,1,21,15.396608751339377,2.462536547551243,Excellent
57,93,32.86989311417603,4,9,13.616491902472527,3.2907570528413,Good
87,41,51.148820901542045,1,16,14.095557062118983,3.503675600368807,Excellent
67,65,45.70125383488555,10,8,16.847511753311508,2.05331200499634,Excellent
74,92,21.580776632935248,10,12,18.758083873696815,2.0180311416322034,Excellent
71,60,37.97247660224645,2,0,7.366409084293522,2.7694870037424284,Average
81,57,62.435,6,11,4.557796277094752,1.3755,Good
100,95,20.050000004351844,2,11,25.03261849343596,2.3412282697090245,Excellent
76,63,38.129242901222185,4,21,0.9550000000000001,4.0,Average
87,94,31.865545164411483,10,0,26.145,1.3755,Good
45,79,34.27520983158624,4,9,0.9550000000000001,2.4741322035824824,Average
73,62,5.252138041256156,4,21,8.546881972360119,2.2292394502556565,Average
58,80,61.56012647871063,2,9,21.670673152003985,4.0,Average
51,77,21.10553714503407,9,10,13.47871620083916,2.2821051909533634,Excellent
57,92,54.438069524031,1,4,2.375074517328187,2.3384772598322487,Average
68,58,23.9376779446603,4,3,17.07154886571525,1.8034514662068688,Good
92,70,23.861252522043536,5,0,14.040825466751029,2.8134689740596235,Poor
49,68,57.90108340526936,3,6,11.654077009369287,3.066773110018061,Good
75,85,53.842161827423645,8,3,8.21481327576804,1.9442061400679502,Good
65,47,39.30484741286791,9,12,13.184029593777678,3.7645551907183896,Excellent
68,92,49.53339015177626,1,5,8.568970222912249,3.0676437203493547,Poor
93,80,30.099483058880466,10,7,26.145,3.6316872686550936,Average
85,41,35.286750801374396,1,7,11.451967431246015,2.4857676366664485,Average
100,96,23.19254198039248,9,11,10.324250420292278,3.040570464641201,Average
71,100,52.179266450783786,6,7,8.908664204405534,2.5974808562255642,Excellent
61,91,22.60401066525479,4,2,26.145,4.0,Excellent
70,100,62.435,4,12,0.9550000000000001,2.917319572490307,Good
79,71,29.59440324651277,5,20,16.50662932970537,2.8129175356753016,Excellent
78,36,35.821356352588055,6,12,11.458099137563057,2.3594225831104043,Average
53,36,49.48854014023375,2,6,1.4734788557181435,2.3033697015676786,Good
76,75,35.8834857320557,4,10,6.569240872663987,3.035266124056743,Good
79,57,29.926277378841895,3,0,16.14844391945553,3.6003096034926534,Good
100,50,34.885821144786334,2,10,6.187121047500865,2.139649351424105,Poor
100,68,51.989563909143065,3,8,15.664521015692848,2.927336498468541,Average
58,83,23.16981029315724,2,3,26.145,2.9832617617259998,Average
69,38,33.10455083519907,4,5,14.91436758340538,3.1524197848668516,Good
46,60,35.632112193170336,6,8,1.2195661404377507,1.3755,Excellent
63,100,51.44834958609085,5,19,6.33550162205952,1.906418270357256,Average
80,46,33.59315798435449,10,20,11.069243060370132,1.4780591267410252,Poor
97,89,62.435,1,3,10.505726232840933,2.8363503945493846,Average
60,59,32.54355623046615,7,7,14.7576402185769,1.929490710731672,Excellent
62,81,31.0412597955237,5,7,16.110405954636526,2.3225220297956217,Average
45,94,32.27522690580466,8,18,26.145,1.6446631556783726,Average
71,86,11.06574399747927,7,12,13.444468477607023,2.4128378203435963,Poor
54,89,16.248002472598355,5,12,3.760331603745877,1.7128112422066315,Average
64,44,25.617051713935865,6,16,23.204925054295117,3.540413745290214,Excellent
57,94,56.470095484333086,3,6,24.125873778762646,3.269790010204255,Good
72,51,34.82838028225881,7,21,15.43583347737922,2.950302773954585,Average
45,75,26.469102815182406,1,11,11.398193418209582,2.5112039699420228,Poor
46,75,58.14937998877543,7,4,18.72525166468661,1.3755,Excellent
100,80,62.435,5,9,11.69597204304078,2.359456933977083,Average
49,77,58.6834583354371,4,21,0.9550000000000001,2.0649740630858955,Average
53,51,19.647802559218142,4,8,18.227145393238306,3.044542111157277,Excellent
100,40,26.27277542179154,5,19,20.999451235917338,3.4062079128740255,Good
100,89,62.435,9,6,25.62732869698409,3.1196641002218506,Poor
52,74,39.90605792515485,10,5,7.313952467072824,4.0,Good
67,95,30.48689576542163,9,17,15.382898172415603,2.2525325695247336,Good
81,69,48.740955276183094,3,4,15.565321821530278,2.2122695914034765,Excellent
100,39,54.09051337331519,7,18,14.195793760783955,3.812289520530548,Average
55,91,24.862012823869485,7,14,14.44431920101732,2.965827694720748,Good
69,61,39.50431527047155,2,4,13.788970601615755,2.564558734783566,Good
89,77,52.595734664217474,1,11,15.261340703981618,4.0,Poor
83,55,13.960442448469983,5,7,19.721383193746338,3.365444848335543,Average
67,100,35.67022693295121,8,14,23.765507604754085,2.6193811827128863,Poor
72,50,14.810175499178445,1,21,7.098308288566739,2.138302726060319,Good
48,62,17.231938786201805,3,8,12.022958677502661,4.0,Average
70,72,25.016592956458666,7,16,9.912328986615687,3.0054293407700516,Good
69,46,44.27492126899415,5,11,8.705986733518161,2.828224794609839,Average
79,77,29.479831862932485,9,11,0.9550000000000001,3.4611417370641226,Good
63,100,23.437039037989173,1,10,13.680081246845152,3.6590609160949144,Good
83,59,36.39613310035151,10,4,17.517545122493935,3.338389742784587,Average
94,78,14.207126905025394,1,14,12.168005551383985,3.662836239741423,Excellent
77,36,43.380406744800034,1,9,13.40029881034086,3.2427416556677886,Average
81,69,56.38783744495339,5,4,17.004165471929603,3.343265194682676,Average
75,63,33.97530571509099,2,20,25.37463728625128,2.093930684572597,Average
74,52,31.68988119025992,5,12,9.936306629608696,4.0,Average
60,93,42.35543451066878,5,9,3.5965984923044267,1.6064059748372959,Excellent
80,62,2.2649999999999997,5,21,12.71322646005508,3.1048500803002406,Excellent
72,66,45.380151454310656,3,0,26.145,1.5062959504220585,Excellent
100,61,62.435,6,21,3.6869201738649,2.709124859494612,Good
100,36,33.170474211262565,4,4,18.957889328311634,2.2496393015019582,Average
82,45,33.23621987862712,8,13,23.23955681970707,2.9362477945099714,Excellent
59,91,49.208593892381714,5,6,0.9550000000000001,3.1362940295862476,Poor
53,36,62.435,2,3,16.934900202159515,1.8757308616830373,Average
97,53,53.49194236328826,1,21,18.563895599238784,2.775852592547642,Average
79,61,2.2649999999999997,5,21,11.221616939192604,4.0,Excellent
83,100,45.87227153740581,1,9,8.024952212209882,1.5300895519691768,Poor
45,86,62.435,1,14,8.495266795186351,1.9750538515426435,Average
92,57,46.96536210240992,7,12,10.705287269148608,3.6402866361026107,Good
83,98,14.065697219697103,1,21,10.928507639894887,2.8797293466909886,Excellent
53,53,40.65937969102166,9,0,9.337516905343541,2.951201661529661,Average
65,92,11.731389348473083,6,14,10.571158760121456,3.7971639437511358,Good
79,40,58.26544141795634,5,5,23.51679478348559,2.033304732377739,Good
75,93,17.74472994613484,2,0,3.235561012977765,2.3000955759121444,Average
69,61,36.81619207543856,7,8,0.9550000000000001,2.1803537718767787,Excellent
72,47,19.5609731531408,5,21,23.65165289952335,2.466280275258522,Excellent
69,65,25.324883688711836,3,6,11.85670656350448,4.0,Good
77,76,62.435,6,18,10.202191875224477,1.3755,Good
100,59,37.35704301449476,1,21,12.538031418982621,1.644723084537537,Excellent
45,82,25.08875207711896,1,11,15.240490465551693,1.4782159119193983,Good
70,57,14.23924370677349,2,12,9.056943260337476,4.0,Average
78,83,2.2649999999999997,6,0,17.741931611308182,2.2077792208129305,Average
80,79,12.2758150564153,5,5,5.361869821786856,2.487187254975526,Good
67,68,37.5144480269879,8,19,10.930783093871144,1.3755,Excellent
45,60,53.589434178785666,2,12,0.9550000000000001,2.5496162905529873,Good
80,73,25.067479473750087,7,14,23.36033845496079,3.645886981198154,Excellent
100,82,62.435,5,12,11.991031592513625,3.050060649793117,Average
45,100,22.15806915358293,2,21,19.126266278856072,2.69967099787408,Average
91,90,31.035185733438365,6,8,17.49439218880301,1.3755,Excellent
68,91,15.454692174136746,5,21,18.111957685982546,2.4859457738768644,Good
73,100,53.784345925993726,3,12,13.410268739164918,2.9470840801158182,Excellent
54,81,62.435,5,21,16.749433475963514,1.8412657676943691,Good
68,80,2.8238915744639,5,1,5.370117845222978,3.4403747222270997,Poor
99,85,29.03292117804429,5,13,3.6002543288016735,3.6638976126303744,Good
85,47,58.85743885352703,4,8,12.623290713895027,2.2910513528513476,Average
100,60,8.653331308916936,1,12,7.7438419864083246,3.509264831115097,Good
97,58,45.93309037059764,5,21,25.495592392423198,2.697849674298925,Average
83,84,58.0556534718439,3,14,16.639115678306183,3.9183905405497246,Good
100,66,36.889972551442064,2,21,7.434339031909215,4.0,Good
83,73,45.62907971094377,4,6,11.186157656534983,1.7423693862125869,Good
90,93,62.435,7,4,14.59736770702839,3.5516550422382993,Good
68,88,62.435,6,11,12.902420711988684,4.0,Excellent
